id_corrida,ano,rodada,nome_corrida
1,2009,1,Australian Grand Prix
2,2009,2,Malaysian Grand Prix
3,2009,3,Chinese Grand Prix
4,2009,4,Bahrain Grand Prix
5,2009,5,Spanish Grand Prix
6,2009,6,Monaco Grand Prix
7,2009,7,Turkish Grand Prix
8,2009,8,British Grand Prix
9,2009,9,German Grand Prix
10,2009,10,Hungarian Grand Prix
11,2009,11,European Grand Prix
12,2009,12,Belgian Grand Prix
13,2009,13,Italian Grand Prix
14,2009,14,Singapore Grand Prix
15,2009,15,Japanese Grand Prix
16,2009,16,Brazilian Grand Prix
17,2009,17,Abu Dhabi Grand Prix
18,2008,1,Australian Grand Prix
19,2008,2,Malaysian Grand Prix
20,2008,3,Bahrain Grand Prix
21,2008,4,Spanish Grand Prix
22,2008,5,Turkish Grand Prix
23,2008,6,Monaco Grand Prix
24,2008,7,Canadian Grand Prix
25,2008,8,French Grand Prix
26,2008,9,British Grand Prix
27,2008,10,German Grand Prix
28,2008,11,Hungarian Grand Prix
29,2008,12,European Grand Prix
30,2008,13,Belgian Grand Prix
31,2008,14,Italian Grand Prix
32,2008,15,Singapore Grand Prix
33,2008,16,Japanese Grand Prix
34,2008,17,Chinese Grand Prix
35,2008,18,Brazilian Grand Prix
36,2007,1,Australian Grand Prix
37,2007,2,Malaysian Grand Prix
38,2007,3,Bahrain Grand Prix
39,2007,4,Spanish Grand Prix
40,2007,5,Monaco Grand Prix
41,2007,6,Canadian Grand Prix
42,2007,7,United States Grand Prix
43,2007,8,French Grand Prix
44,2007,9,British Grand Prix
45,2007,10,European Grand Prix
46,2007,11,Hungarian Grand Prix
47,2007,12,Turkish Grand Prix
48,2007,13,Italian Grand Prix
49,2007,14,Belgian Grand Prix
50,2007,15,Japanese Grand Prix
51,2007,16,Chinese Grand Prix
52,2007,17,Brazilian Grand Prix
53,2006,1,Bahrain Grand Prix
54,2006,2,Malaysian Grand Prix
55,2006,3,Australian Grand Prix
56,2006,4,San Marino Grand Prix
57,2006,5,European Grand Prix
58,2006,6,Spanish Grand Prix
59,2006,7,Monaco Grand Prix
60,2006,8,British Grand Prix
61,2006,9,Canadian Grand Prix
62,2006,10,United States Grand Prix
63,2006,11,French Grand Prix
64,2006,12,German Grand Prix
65,2006,13,Hungarian Grand Prix
66,2006,14,Turkish Grand Prix
67,2006,15,Italian Grand Prix
68,2006,16,Chinese Grand Prix
69,2006,17,Japanese Grand Prix
70,2006,18,Brazilian Grand Prix
71,2005,1,Australian Grand Prix
72,2005,2,Malaysian Grand Prix
73,2005,3,Bahrain Grand Prix
74,2005,4,San Marino Grand Prix
75,2005,5,Spanish Grand Prix
76,2005,6,Monaco Grand Prix
77,2005,7,European Grand Prix
78,2005,8,Canadian Grand Prix
79,2005,9,United States Grand Prix
80,2005,10,French Grand Prix
81,2005,11,British Grand Prix
82,2005,12,German Grand Prix
83,2005,13,Hungarian Grand Prix
84,2005,14,Turkish Grand Prix
85,2005,15,Italian Grand Prix
86,2005,16,Belgian Grand Prix
87,2005,17,Brazilian Grand Prix
88,2005,18,Japanese Grand Prix
89,2005,19,Chinese Grand Prix
90,2004,1,Australian Grand Prix
91,2004,2,Malaysian Grand Prix
92,2004,3,Bahrain Grand Prix
93,2004,4,San Marino Grand Prix
94,2004,5,Spanish Grand Prix
95,2004,6,Monaco Grand Prix
96,2004,7,European Grand Prix
97,2004,8,Canadian Grand Prix
98,2004,9,United States Grand Prix
99,2004,10,French Grand Prix
100,2004,11,British Grand Prix
101,2004,12,German Grand Prix
102,2004,13,Hungarian Grand Prix
103,2004,14,Belgian Grand Prix
